marketing_name,stock_code,vendor,model,device_type,catalog_price,wholesale_price,fd_insured_value,fd_replacement_value,fd_koil_invoice_value,yop_insured_value,yop_replacement_value,yop__fd_koil_invoice_value,prev_insured_value,prev_replacement_value,prev_fd_koil_invoice_value
NOKIA PHONE 808 PURE VIEW,NK808,Nokia,808 PURE VIEW,Phone,"43,999","41,790","43,999","39,599","37,620","38,500","34,650","32,920","16,500","14,850","14,110"
NOKIA PHONE ASHA 205,NK205,Nokia,ASHA 205,Phone,"6,150","5,840","6,150","5,150","4,890","5,380","4,380","4,160","2,310","1,310","1,240"
NOKIA PHONE C2-03,NKC2-03,Nokia,C2-03,Phone,"8,099","7,690","8,099","7,099","6,740","7,090","6,090","5,790","3,040","2,040","1,940"
NOKIA PHONE C2-05,NKC2-05,Nokia,C2-05,Phone,"5,999","5,690","5,999","4,999","4,750","5,250","4,250","4,040","2,250","1,250","1,190"
NOKIA PHONE DUAL SIM - 112,NK112,Nokia,DUAL SIM - 112,Phone,"4,599","4,360","4,599","3,599","3,420","4,020","3,020","2,870","1,720",720,680
Nokia Lumia 820,NK820,Nokia,Lumia 820,Phone,"38,499","36,570","38,499","34,649","32,920","33,690","30,320","28,800","14,440","13,000","12,350"
Nokia Lumia 510,NK510,Nokia,Lumia 510,Phone,"14,999","14,240","14,999","13,499","12,820","13,120","11,810","11,220","5,620","4,620","4,390"
Nokia Lumia 900,NK900,Nokia,Lumia 900,Phone,"41,499","39,420","41,499","37,349","35,480","36,310","32,680","31,050","15,560","14,000","13,300"
Nokia Lumia 920,NK920,Nokia,Lumia 920,Phone,"52,499","49,870","52,499","47,249","44,890","45,940","41,350","39,280","19,690","17,720","16,830"
NOKIA PHONE X2-02,NKX2-02,Nokia,X2-02,Phone,"6,499","6,170","6,499","5,499","5,220","5,690","4,690","4,460","2,440","1,440","1,370"
SAM GALAXY 7.0 TAB 3- T211-8GB,SGHT211-8GB,Samsung,GALAXY 7.0 TAB 3- T211-8GB,Tablet,"35,999","34,190","35,999","32,399","30,780","31,500","28,350","26,930","13,500","12,150","11,540"
SAM GALAXY 7.0 TAB3- T211-16GB,SGHT211-16GB,Samsung,GALAXY 7.0 TAB3- T211-16GB,Tablet,"39,999","37,990","39,999","35,999","34,200","35,000","31,500","29,930","15,000","13,500","12,830"
SAM GALAXY CORE-I8262,SGHI8262,Samsung,GALAXY CORE-I8262,Phone,"26,499","25,170","26,499","23,849","22,660","23,190","20,870","19,830","9,940","8,940","8,490"
SAM GALAXY MUSIC DUOS-S6012,SGHS6012,Samsung,GALAXY MUSIC DUOS-S6012,Phone,"12,699","12,060","12,699","11,429","10,860","11,110","10,000","9,500","4,760","3,760","3,570"
SAM GALAXY POCKET DUOS-S5302,SGHS5302,Samsung,GALAXY POCKET DUOS-S5302,Phone,"10,399","9,870","10,399","9,359","8,890","9,100","8,100","7,700","3,900","2,900","2,760"
SAM GALAXY POCKET NEO-S5312,SGHS5312,Samsung,GALAXY POCKET NEO-S5312,Phone,"11,199","10,630","11,199","10,079","9,580","9,800","8,800","8,360","4,200","3,200","3,040"
SAM GALAXY S3 MINI-I8190-8GB,SGHI8190-8GB,Samsung,GALAXY S3 MINI-I8190-8GB,Phone,"32,499","30,870","32,499","29,249","27,790","28,440","25,600","24,320","12,190","10,970","10,420"
SAM GALAXY S4 MINI-I9192-DOUS,SGHI9192-8GB,Samsung,GALAXY S4 MINI-I9192-DOUS,Phone,"47,499","45,120","47,499","42,749","40,610","41,560","37,400","35,530","17,810","16,030","15,230"
SAM GALAXY YOUNG DOUS-S6312,SGHS6312,Samsung,GALAXY YOUNG DOUS-S6312,Phone,"13,999","13,290","13,999","12,599","11,970","12,250","11,030","10,480","5,250","4,250","4,040"
SAM PHONE GALAXY FAME- S6810,SGHS6810,Samsung,GALAXY FAME- S6810,Phone,"18,499","17,570","18,499","16,649","15,820","16,190","14,570","13,840","6,940","5,940","5,640"
SAMSUNG  GALAXY-I9500- S4-16GB,SGHI9500-S4-16GB,Samsung,GALAXY-I9500- S4-16GB,Phone,"69,499","66,020","69,499","62,549","59,420","60,810","54,730","51,990","26,060","23,450","22,280"
SAMSUNG CHAT DUOS- S3572,SGHS3572,Samsung,CHAT DUOS- S3572,Phone,"7,799","7,400","7,799","6,799","6,460","6,820","5,820","5,530","2,920","1,920","1,820"
SAMSUNG CHIEF E1500,SGHE1500,Samsung,CHIEF E1500,Phone,"3,099","2,940","3,099","2,099","1,990","2,710","1,710","1,620","1,160",160,150
SAMSUNG GALAXY ACE DUOS-S6802,SGHS6802,Samsung,GALAXY ACE DUOS-S6802,Phone,"18,499","17,570","18,499","16,649","15,820","16,190","14,570","13,840","6,940","5,940","5,640"
SAMSUNG GALAXY GRAND- I9082,SGHI9082,Samsung,GALAXY GRAND- I9082,Phone,"34,799","33,050","34,799","31,319","29,750","30,450","27,410","26,040","13,050","11,750","11,160"
SAMSUNG GALAXY I9300-64GB-TRM,SGHI9300-64G-TRM,Samsung,GALAXY I9300-64GB-TRM,Phone,"57,999","55,090","57,999","52,199","49,590","50,750","45,680","43,400","21,750","19,580","18,600"
SAMSUNG GALAXY I9300-S3- 32GB,SGHI9300-S3-32GB,Samsung,GALAXY I9300-S3- 32GB,Phone,"51,999","49,390","51,999","46,799","44,460","45,500","40,950","38,900","19,500","17,550","16,670"
SAMSUNG GALAXY I9300-S3-16GB,SGHI9300-S3,Samsung,GALAXY I9300-S3-16GB,Phone,"45,999","43,690","45,999","41,399","39,330","40,250","36,230","34,420","17,250","15,530","14,750"
SAMSUNG GALAXY I9300-S3-64GB,SGHI9300-S3-64GB,Samsung,GALAXY I9300-S3-64GB,Phone,"57,999","55,090","57,999","52,199","49,590","50,750","45,680","43,400","21,750","19,580","18,600"
SAMSUNG GALAXY MEGA- I9152,SGHI9152,Samsung,GALAXY MEGA- I9152,Phone,"40,499","38,470","40,499","36,449","34,630","35,440","31,900","30,310","15,190","13,670","12,990"
SAMSUNG GALAXY MUSIC -S6010,SGHS6010,Samsung,GALAXY MUSIC -S6010,Phone,"11,499","10,920","11,499","10,349","9,830","10,060","9,050","8,600","4,310","3,310","3,140"
