marketing_name,vendor,model,device_type,catalog_price,wholesale_price,fd_insured_value,fd_replacement_value,fd_koil_invoice_value,yop_insured_value,yop_replacement_value,yop_fd_koil_invoice_value,prev_insured_value,prev_replacement_value,prev_fd_koil_invoice_value
SAMSUNG CHIEF E1500,Samsung,CHIEF E1500,Phone,"2,699","2,560","2,699","1,699","1,610","2,360","1,360","1,290","1,010",10,10
SAMSUNG PHONE E1232,Samsung,E1232,Phone,"2,999","2,840","2,999","1,999","1,900","2,620","1,620","1,540","1,120",120,110
SAMSUNG PHONE E1282T,Samsung,E1282T,Phone,"2,850","2,700","2,850","1,850","1,760","2,490","1,490","1,420","1,070",70,70
SAMSUNG PHONE E2222 TEXTO,Samsung,E2222 TEXTO,Phone,"4,799","4,550","4,799","3,799","3,610","4,200","3,200","3,040","1,800",800,760
SAMSUNG GALAXY ACE DUOS-S6802,Samsung,GALAXY ACE DUOS-S6802,,"15,999","15,190","15,999","14,399","13,680","14,000","12,600","11,970","6,000","5,000","4,750"
SAM PHONE GALAXY FAME- S6810,Samsung,GALAXY FAME- S6810,,"15,999","15,190","15,999","14,399","13,680","14,000","12,600","11,970","6,000","5,000","4,750"
SAMSUNG GALAXY GRAND- I9082,Samsung,GALAXY GRAND- I9082,,"30,999","29,440","30,999","27,899","26,500","27,120","24,410","23,190","11,620","10,460","9,940"
SAMSUNG GALAXY I9300-S3- 32GB,Samsung,GALAXY I9300-S3- 32GB,,"46,999","44,640","46,999","42,299","40,180","41,120","37,010","35,160","17,620","15,860","15,070"
SAMSUNG GALAXY I9300-S3-16GB,Samsung,GALAXY I9300-S3-16GB,,"42,499","40,370","42,499","38,249","36,340","37,190","33,470","31,800","15,940","14,350","13,630"
SAMSUNG GALAXY I9300-S3-64GB,Samsung,GALAXY I9300-S3-64GB,,"52,999","50,340","52,999","47,699","45,310","46,370","41,730","39,640","19,870","17,880","16,990"
SAMSUNG GALAXY MEGA- I9152,Samsung,GALAXY MEGA- I9152,,"36,999","35,140","36,999","33,299","31,630","32,370","29,130","27,670","13,870","12,480","11,860"
SAM GALAXY MUSIC DUOS-S6012,Samsung,GALAXY MUSIC DUOS-S6012,,"10,999","10,440","10,999","9,899","9,400","9,620","8,620","8,190","4,120","3,120","2,960"
SAMSUNG GALAXY NOTE 10.1 N8000,Samsung,GALAXY NOTE 10.1 N8000,,"57,499","54,620","57,499","51,749","49,160","50,310","45,280","43,020","21,560","19,400","18,430"
SAMSUNG GALAXY NOTE 2- N7100,Samsung,GALAXY NOTE 2- N7100,,"54,999","52,240","54,999","49,499","47,020","48,120","43,310","41,140","20,620","18,560","17,630"
SAMSUNG GALAXY NOTE 8.0- N5100,Samsung,GALAXY NOTE 8.0- N5100,,"48,499","46,070","48,499","43,649","41,470","42,440","38,200","36,290","18,190","16,370","15,550"
SAMSUNG GALAXY NOTE- N7000,Samsung,GALAXY NOTE- N7000,,"43,999","41,790","43,999","39,599","37,620","38,500","34,650","32,920","16,500","14,850","14,110"
